Voting_Preference,State_Code_FIPS,Year_of_Study,Thermometer_Liberals,Thermometer_Conservatives,Thermometer_Gays_and_Lesbians,Thermometer_Feminists
Did not vote,17.0,2020,50.0,50.0,97.0,85.0
Democrat,49.0,2020,85.0,40.0,97.0,65.0
Democrat,4.0,2020,95.0,25.0,95.0,85.0
Democrat,6.0,2020,60.0,40.0,60.0,60.0
Republican,21.0,2020,0.0,30.0,50.0,50.0
Republican,18.0,2020,30.0,70.0,30.0,50.0
Republican,26.0,2020,70.0,85.0,85.0,85.0
Republican,20.0,2020,20.0,90.0,10.0,50.0
Republican,21.0,2020,50.0,50.0,50.0,10.0
Democrat,6.0,2020,60.0,0.0,70.0,97.0
Democrat,20.0,2020,97.0,0.0,97.0,97.0
Did not vote,24.0,2020,45.0,80.0,85.0,60.0
Democrat,22.0,2020,40.0,30.0,70.0,80.0
Democrat,6.0,2020,65.0,65.0,70.0,75.0
Did not vote,36.0,2020,99.0,99.0,99.0,99.0
Democrat,55.0,2020,50.0,50.0,50.0,50.0
Democrat,32.0,2020,85.0,60.0,85.0,97.0
Major Third Party,48.0,2020,50.0,50.0,75.0,75.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,1.0,2020,0.0,50.0,0.0,0.0
Did not vote,47.0,2020,99.0,99.0,99.0,99.0
Republican,1.0,2020,0.0,97.0,0.0,50.0
Republican,4.0,2020,15.0,85.0,50.0,40.0
Democrat,34.0,2020,55.0,0.0,97.0,97.0
Did not vote,8.0,2020,99.0,99.0,99.0,99.0
Did not vote,36.0,2020,50.0,60.0,80.0,80.0
Democrat,51.0,2020,60.0,0.0,70.0,60.0
Democrat,35.0,2020,70.0,70.0,85.0,80.0
Democrat,50.0,2020,60.0,40.0,75.0,65.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Democrat,8.0,2020,85.0,50.0,85.0,85.0
Republican,12.0,2020,15.0,97.0,50.0,70.0
Did not vote,12.0,2020,60.0,30.0,85.0,50.0
Democrat,55.0,2020,75.0,20.0,75.0,97.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Democrat,48.0,2020,60.0,50.0,50.0,60.0
Did not vote,6.0,2020,60.0,40.0,60.0,70.0
Democrat,36.0,2020,40.0,97.0,85.0,0.0
Major Third Party,13.0,2020,30.0,20.0,50.0,25.0
Did not vote,42.0,2020,50.0,50.0,60.0,50.0
Democrat,25.0,2020,70.0,10.0,85.0,85.0
Democrat,6.0,2020,85.0,40.0,97.0,85.0
Republican,34.0,2020,50.0,50.0,50.0,50.0
Democrat,48.0,2020,70.0,70.0,90.0,90.0
Republican,48.0,2020,15.0,85.0,50.0,15.0
Republican,17.0,2020,0.0,97.0,50.0,50.0
Democrat,6.0,2020,85.0,40.0,50.0,85.0
Republican,4.0,2020,99.0,85.0,50.0,50.0
Democrat,6.0,2020,85.0,15.0,85.0,85.0
Republican,1.0,2020,15.0,97.0,15.0,40.0
Did not vote,55.0,2020,99.0,99.0,99.0,99.0
Republican,48.0,2020,15.0,97.0,30.0,0.0
Democrat,17.0,2020,60.0,50.0,60.0,50.0
Republican,47.0,2020,0.0,85.0,30.0,0.0
Republican,18.0,2020,0.0,85.0,2.0,60.0
Republican,6.0,2020,0.0,85.0,85.0,0.0
Republican,13.0,2020,15.0,85.0,85.0,60.0
Democrat,44.0,2020,60.0,50.0,70.0,60.0
Democrat,48.0,2020,50.0,50.0,50.0,50.0
Democrat,17.0,2020,60.0,85.0,70.0,70.0
Democrat,29.0,2020,85.0,30.0,70.0,85.0
Democrat,53.0,2020,97.0,5.0,55.0,97.0
Republican,13.0,2020,15.0,85.0,30.0,15.0
Republican,38.0,2020,0.0,97.0,50.0,0.0
Republican,6.0,2020,50.0,70.0,50.0,50.0
Republican,8.0,2020,15.0,70.0,50.0,15.0
Republican,17.0,2020,60.0,97.0,70.0,50.0
Did not vote,28.0,2020,50.0,50.0,50.0,50.0
Democrat,42.0,2020,90.0,10.0,97.0,97.0
Republican,9.0,2020,10.0,65.0,60.0,30.0
Democrat,6.0,2020,85.0,15.0,50.0,85.0
Democrat,9.0,2020,97.0,0.0,97.0,50.0
Republican,36.0,2020,0.0,0.0,70.0,15.0
Democrat,36.0,2020,60.0,50.0,50.0,50.0
Democrat,25.0,2020,60.0,60.0,70.0,60.0
Did not vote,45.0,2020,50.0,50.0,97.0,70.0
Did not vote,42.0,2020,70.0,70.0,85.0,60.0
Democrat,37.0,2020,50.0,50.0,50.0,50.0
Republican,37.0,2020,0.0,60.0,20.0,40.0
Democrat,49.0,2020,50.0,50.0,48.0,50.0
Democrat,55.0,2020,60.0,50.0,90.0,85.0
Republican,37.0,2020,60.0,60.0,50.0,60.0
Did not vote,48.0,2020,97.0,40.0,50.0,15.0
Republican,53.0,2020,40.0,50.0,60.0,50.0
Did not vote,13.0,2020,97.0,0.0,0.0,50.0
Democrat,51.0,2020,85.0,15.0,85.0,97.0
Republican,23.0,2020,30.0,85.0,70.0,50.0
Democrat,10.0,2020,97.0,35.0,97.0,97.0
Democrat,6.0,2020,97.0,70.0,97.0,97.0
Republican,25.0,2020,10.0,90.0,99.0,30.0
Democrat,25.0,2020,50.0,50.0,60.0,60.0
Democrat,49.0,2020,55.0,60.0,60.0,50.0
Republican,8.0,2020,30.0,70.0,50.0,50.0
Democrat,19.0,2020,70.0,30.0,97.0,95.0
Republican,1.0,2020,15.0,85.0,50.0,40.0
Democrat,6.0,2020,85.0,40.0,85.0,97.0
Republican,44.0,2020,40.0,85.0,50.0,50.0
Did not vote,28.0,2020,99.0,99.0,99.0,99.0
Republican,39.0,2020,0.0,97.0,50.0,40.0
Democrat,53.0,2020,85.0,30.0,70.0,85.0
Democrat,6.0,2020,60.0,40.0,97.0,60.0
Democrat,37.0,2020,70.0,30.0,97.0,97.0
Republican,34.0,2020,50.0,70.0,50.0,40.0
Democrat,36.0,2020,70.0,30.0,85.0,60.0
Democrat,35.0,2020,70.0,60.0,85.0,85.0
Democrat,50.0,2020,50.0,30.0,70.0,50.0
Republican,17.0,2020,15.0,97.0,60.0,15.0
Did not vote,18.0,2020,0.0,50.0,0.0,0.0
Democrat,25.0,2020,70.0,30.0,50.0,70.0
Democrat,33.0,2020,88.0,30.0,97.0,88.0
Democrat,12.0,2020,50.0,35.0,60.0,70.0
Democrat,17.0,2020,83.0,25.0,90.0,97.0
Democrat,29.0,2020,50.0,50.0,50.0,50.0
Republican,34.0,2020,10.0,85.0,90.0,0.0
Democrat,55.0,2020,0.0,50.0,80.0,0.0
Republican,26.0,2020,10.0,85.0,50.0,30.0
Democrat,12.0,2020,85.0,50.0,97.0,97.0
Did not vote,48.0,2020,50.0,50.0,70.0,50.0
Democrat,48.0,2020,60.0,0.0,50.0,70.0
Did not vote,26.0,2020,50.0,50.0,50.0,70.0
Democrat,37.0,2020,70.0,60.0,85.0,85.0
Did not vote,39.0,2020,85.0,85.0,97.0,97.0
Democrat,42.0,2020,70.0,15.0,50.0,70.0
Republican,12.0,2020,15.0,85.0,0.0,50.0
Major Third Party,24.0,2020,15.0,90.0,50.0,15.0
Did not vote,54.0,2020,20.0,75.0,15.0,15.0
Major Third Party,40.0,2020,25.0,60.0,50.0,50.0
Did not vote,12.0,2020,30.0,80.0,70.0,0.0
Republican,21.0,2020,0.0,90.0,50.0,50.0
Democrat,42.0,2020,70.0,30.0,50.0,60.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Democrat,28.0,2020,50.0,50.0,50.0,85.0
Republican,48.0,2020,0.0,97.0,85.0,30.0
Democrat,6.0,2020,97.0,30.0,97.0,85.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Democrat,32.0,2020,68.0,60.0,90.0,75.0
Republican,24.0,2020,99.0,99.0,99.0,99.0
Democrat,5.0,2020,70.0,60.0,95.0,95.0
Democrat,6.0,2020,70.0,30.0,97.0,97.0
Republican,17.0,2020,20.0,90.0,80.0,40.0
Democrat,17.0,2020,60.0,30.0,90.0,40.0
Democrat,13.0,2020,50.0,50.0,97.0,85.0
Did not vote,36.0,2020,40.0,85.0,50.0,70.0
Republican,12.0,2020,30.0,70.0,50.0,50.0
Democrat,9.0,2020,95.0,50.0,90.0,90.0
Democrat,45.0,2020,0.0,15.0,70.0,97.0
Republican,56.0,2020,40.0,70.0,99.0,50.0
Did not vote,48.0,2020,50.0,50.0,60.0,0.0
Democrat,17.0,2020,70.0,15.0,97.0,97.0
Democrat,34.0,2020,50.0,50.0,97.0,85.0
Republican,13.0,2020,15.0,97.0,15.0,15.0
Democrat,51.0,2020,40.0,40.0,70.0,50.0
Did not vote,53.0,2020,40.0,40.0,50.0,40.0
Democrat,6.0,2020,65.0,35.0,50.0,60.0
Did not vote,19.0,2020,70.0,97.0,50.0,50.0
Democrat,48.0,2020,50.0,50.0,50.0,50.0
Democrat,17.0,2020,16.0,70.0,70.0,60.0
Republican,18.0,2020,70.0,85.0,70.0,70.0
Republican,8.0,2020,0.0,85.0,50.0,40.0
Democrat,42.0,2020,50.0,60.0,85.0,50.0
Democrat,48.0,2020,70.0,50.0,97.0,70.0
Democrat,22.0,2020,85.0,20.0,97.0,85.0
Republican,4.0,2020,50.0,50.0,97.0,50.0
Republican,25.0,2020,60.0,85.0,97.0,97.0
Democrat,8.0,2020,65.0,45.0,60.0,70.0
Democrat,34.0,2020,70.0,40.0,85.0,75.0
Democrat,10.0,2020,75.0,15.0,50.0,40.0
Republican,39.0,2020,40.0,70.0,60.0,50.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Republican,17.0,2020,60.0,85.0,15.0,70.0
Did not vote,37.0,2020,99.0,99.0,99.0,99.0
Democrat,6.0,2020,50.0,50.0,97.0,97.0
Democrat,6.0,2020,85.0,5.0,90.0,90.0
Democrat,36.0,2020,70.0,50.0,85.0,70.0
Did not vote,42.0,2020,99.0,99.0,99.0,99.0
Republican,45.0,2020,85.0,97.0,97.0,85.0
Republican,24.0,2020,40.0,60.0,99.0,50.0
Democrat,36.0,2020,85.0,15.0,70.0,85.0
Republican,47.0,2020,70.0,97.0,60.0,70.0
Republican,6.0,2020,15.0,85.0,85.0,50.0
Did not vote,18.0,2020,70.0,15.0,90.0,60.0
Republican,54.0,2020,60.0,75.0,25.0,45.0
Democrat,9.0,2020,70.0,15.0,97.0,97.0
Did not vote,25.0,2020,50.0,50.0,50.0,50.0
Republican,6.0,2020,0.0,97.0,70.0,0.0
Democrat,27.0,2020,60.0,30.0,65.0,65.0
Democrat,6.0,2020,65.0,15.0,85.0,85.0
Republican,37.0,2020,0.0,97.0,99.0,40.0
Did not vote,6.0,2020,50.0,40.0,50.0,50.0
Did not vote,48.0,2020,0.0,97.0,40.0,15.0
Democrat,6.0,2020,97.0,50.0,85.0,85.0
Democrat,36.0,2020,50.0,30.0,85.0,85.0
Democrat,24.0,2020,85.0,60.0,97.0,97.0
Republican,55.0,2020,50.0,70.0,50.0,50.0
Republican,42.0,2020,2.0,70.0,40.0,30.0
Democrat,17.0,2020,90.0,20.0,70.0,85.0
Democrat,38.0,2020,97.0,15.0,97.0,30.0
Republican,51.0,2020,50.0,97.0,60.0,60.0
Democrat,42.0,2020,70.0,15.0,85.0,70.0
Democrat,33.0,2020,60.0,30.0,70.0,70.0
Did not vote,42.0,2020,50.0,50.0,97.0,50.0
Did not vote,13.0,2020,50.0,50.0,50.0,99.0
Republican,12.0,2020,70.0,60.0,50.0,85.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Democrat,31.0,2020,25.0,60.0,50.0,35.0
Democrat,36.0,2020,97.0,30.0,97.0,97.0
Republican,6.0,2020,0.0,97.0,50.0,30.0
Republican,42.0,2020,30.0,85.0,50.0,30.0
Democrat,24.0,2020,70.0,40.0,70.0,50.0
Democrat,53.0,2020,85.0,85.0,85.0,85.0
Major Third Party,48.0,2020,40.0,60.0,50.0,70.0
Did not vote,1.0,2020,99.0,99.0,99.0,99.0
Democrat,48.0,2020,70.0,70.0,0.0,70.0
Did not vote,22.0,2020,99.0,99.0,99.0,99.0
Democrat,9.0,2020,50.0,50.0,50.0,30.0
Republican,37.0,2020,15.0,70.0,50.0,50.0
Republican,12.0,2020,0.0,85.0,0.0,0.0
Democrat,39.0,2020,60.0,40.0,85.0,60.0
Democrat,24.0,2020,75.0,25.0,95.0,85.0
Republican,45.0,2020,0.0,70.0,50.0,30.0
Did not vote,26.0,2020,50.0,50.0,30.0,30.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Republican,6.0,2020,15.0,50.0,50.0,50.0
Republican,39.0,2020,50.0,50.0,50.0,50.0
Democrat,6.0,2020,50.0,50.0,50.0,50.0
Republican,42.0,2020,30.0,85.0,50.0,50.0
Republican,21.0,2020,20.0,97.0,40.0,40.0
Republican,49.0,2020,15.0,60.0,50.0,50.0
Democrat,8.0,2020,70.0,60.0,97.0,85.0
Democrat,47.0,2020,70.0,70.0,50.0,70.0
Democrat,26.0,2020,97.0,50.0,97.0,85.0
Democrat,6.0,2020,60.0,50.0,70.0,90.0
Republican,29.0,2020,0.0,97.0,50.0,70.0
Republican,40.0,2020,40.0,97.0,50.0,50.0
Did not vote,53.0,2020,50.0,50.0,50.0,0.0
Democrat,12.0,2020,70.0,0.0,85.0,70.0
Did not vote,32.0,2020,50.0,40.0,97.0,60.0
Major Third Party,36.0,2020,70.0,60.0,95.0,80.0
Republican,21.0,2020,30.0,50.0,50.0,50.0
Did not vote,13.0,2020,50.0,85.0,85.0,97.0
Did not vote,12.0,2020,99.0,99.0,99.0,99.0
Republican,24.0,2020,40.0,70.0,70.0,85.0
Did not vote,12.0,2020,0.0,7.0,0.0,0.0
Did not vote,47.0,2020,50.0,99.0,0.0,30.0
Democrat,6.0,2020,97.0,0.0,97.0,97.0
Democrat,6.0,2020,50.0,51.0,50.0,51.0
Republican,26.0,2020,40.0,60.0,85.0,60.0
Did not vote,6.0,2020,97.0,30.0,70.0,50.0
Democrat,25.0,2020,85.0,50.0,60.0,70.0
Democrat,36.0,2020,75.0,45.0,95.0,90.0
Republican,17.0,2020,50.0,50.0,70.0,50.0
Republican,37.0,2020,20.0,80.0,50.0,30.0
Democrat,17.0,2020,50.0,0.0,97.0,97.0
Democrat,24.0,2020,60.0,60.0,85.0,85.0
Republican,17.0,2020,70.0,70.0,97.0,85.0
Did not vote,32.0,2020,99.0,99.0,99.0,99.0
Democrat,12.0,2020,60.0,70.0,85.0,85.0
Democrat,48.0,2020,50.0,40.0,40.0,40.0
Democrat,30.0,2020,85.0,20.0,25.0,30.0
Democrat,49.0,2020,60.0,40.0,85.0,70.0
Republican,17.0,2020,50.0,50.0,50.0,50.0
Republican,34.0,2020,0.0,50.0,0.0,40.0
Democrat,48.0,2020,70.0,50.0,97.0,0.0
Did not vote,4.0,2020,99.0,99.0,99.0,99.0
Democrat,42.0,2020,50.0,0.0,85.0,60.0
Republican,51.0,2020,50.0,50.0,97.0,40.0
Democrat,41.0,2020,60.0,60.0,50.0,40.0
Republican,6.0,2020,40.0,85.0,50.0,40.0
Republican,12.0,2020,30.0,70.0,97.0,50.0
Democrat,13.0,2020,85.0,0.0,97.0,97.0
Republican,45.0,2020,40.0,60.0,60.0,60.0
Democrat,18.0,2020,86.0,99.0,97.0,97.0
Democrat,1.0,2020,40.0,60.0,30.0,40.0
Democrat,13.0,2020,60.0,0.0,97.0,85.0
Republican,12.0,2020,15.0,70.0,15.0,85.0
Republican,6.0,2020,15.0,97.0,0.0,0.0
Democrat,15.0,2020,60.0,70.0,85.0,70.0
Did not vote,6.0,2020,99.0,99.0,99.0,99.0
Did not vote,39.0,2020,60.0,70.0,70.0,40.0
Republican,13.0,2020,1.0,85.0,60.0,8.0
Republican,4.0,2020,40.0,60.0,50.0,50.0
Democrat,36.0,2020,80.0,70.0,97.0,80.0
Did not vote,26.0,2020,99.0,99.0,99.0,99.0
Republican,51.0,2020,15.0,85.0,60.0,50.0
Democrat,39.0,2020,50.0,50.0,25.0,50.0
Democrat,6.0,2020,97.0,30.0,85.0,85.0
Republican,1.0,2020,50.0,60.0,70.0,70.0
Did not vote,48.0,2020,99.0,99.0,99.0,99.0
Democrat,48.0,2020,50.0,50.0,50.0,60.0
Republican,22.0,2020,85.0,85.0,30.0,97.0
Did not vote,41.0,2020,30.0,70.0,15.0,15.0
Did not vote,54.0,2020,97.0,50.0,97.0,97.0
Democrat,45.0,2020,85.0,15.0,85.0,85.0
Major Third Party,45.0,2020,50.0,60.0,99.0,50.0
Democrat,51.0,2020,70.0,60.0,60.0,60.0
Democrat,6.0,2020,60.0,50.0,70.0,80.0
Democrat,12.0,2020,60.0,15.0,85.0,85.0
Republican,25.0,2020,15.0,50.0,97.0,50.0
Democrat,12.0,2020,99.0,99.0,99.0,99.0
Democrat,37.0,2020,90.0,40.0,97.0,85.0
Democrat,37.0,2020,70.0,40.0,60.0,60.0
Republican,37.0,2020,50.0,85.0,0.0,60.0
Republican,12.0,2020,15.0,85.0,60.0,30.0
Did not vote,26.0,2020,85.0,85.0,85.0,99.0
Republican,6.0,2020,15.0,85.0,0.0,50.0
Democrat,17.0,2020,85.0,40.0,85.0,85.0
Did not vote,9.0,2020,70.0,50.0,70.0,50.0
Major Third Party,34.0,2020,0.0,60.0,70.0,60.0
Democrat,32.0,2020,50.0,50.0,45.0,50.0
Democrat,13.0,2020,85.0,0.0,97.0,55.0
Democrat,26.0,2020,80.0,30.0,50.0,90.0
Democrat,48.0,2020,85.0,50.0,97.0,70.0
Democrat,42.0,2020,99.0,25.0,85.0,80.0
Democrat,48.0,2020,99.0,99.0,70.0,99.0
Democrat,9.0,2020,70.0,0.0,97.0,97.0
Republican,29.0,2020,10.0,80.0,85.0,15.0
Democrat,31.0,2020,50.0,50.0,50.0,60.0
Democrat,30.0,2020,85.0,50.0,97.0,75.0
Democrat,6.0,2020,99.0,99.0,99.0,99.0
Democrat,11.0,2020,99.0,4.0,4.0,1.0
Democrat,34.0,2020,50.0,40.0,85.0,85.0
Democrat,37.0,2020,85.0,40.0,85.0,0.0
Republican,39.0,2020,85.0,85.0,70.0,70.0
Democrat,18.0,2020,85.0,15.0,97.0,85.0
Democrat,41.0,2020,60.0,10.0,90.0,90.0
Republican,6.0,2020,40.0,70.0,97.0,50.0
Democrat,47.0,2020,50.0,60.0,70.0,97.0
Did not vote,6.0,2020,60.0,97.0,85.0,60.0
Republican,50.0,2020,15.0,85.0,50.0,85.0
Democrat,18.0,2020,70.0,15.0,85.0,40.0
Democrat,11.0,2020,90.0,20.0,97.0,97.0
Did not vote,13.0,2020,15.0,97.0,85.0,85.0
Republican,47.0,2020,50.0,70.0,50.0,60.0
Did not vote,48.0,2020,50.0,60.0,60.0,50.0
Republican,12.0,2020,15.0,85.0,15.0,0.0
Democrat,53.0,2020,85.0,40.0,85.0,85.0
Democrat,36.0,2020,60.0,15.0,85.0,85.0
Did not vote,8.0,2020,99.0,99.0,99.0,99.0
Democrat,37.0,2020,70.0,15.0,97.0,70.0
Did not vote,47.0,2020,99.0,99.0,99.0,99.0
Democrat,49.0,2020,60.0,0.0,97.0,85.0
Did not vote,36.0,2020,99.0,99.0,99.0,99.0
Democrat,51.0,2020,85.0,50.0,90.0,90.0
Democrat,6.0,2020,97.0,30.0,97.0,97.0
Republican,37.0,2020,35.0,65.0,95.0,20.0
Did not vote,17.0,2020,99.0,99.0,99.0,99.0
Did not vote,1.0,2020,99.0,99.0,99.0,99.0
Republican,18.0,2020,30.0,60.0,50.0,40.0
Did not vote,13.0,2020,85.0,85.0,50.0,85.0
Did not vote,34.0,2020,0.0,70.0,50.0,0.0
Did not vote,28.0,2020,99.0,99.0,99.0,99.0
Democrat,12.0,2020,70.0,15.0,97.0,97.0
Did not vote,55.0,2020,50.0,50.0,50.0,50.0
Democrat,13.0,2020,70.0,40.0,70.0,50.0
Democrat,17.0,2020,60.0,60.0,70.0,70.0
Democrat,6.0,2020,70.0,40.0,70.0,85.0
Republican,6.0,2020,15.0,85.0,85.0,30.0
Democrat,41.0,2020,70.0,40.0,85.0,50.0
Republican,6.0,2020,30.0,60.0,50.0,50.0
Republican,17.0,2020,0.0,85.0,70.0,30.0
Republican,19.0,2020,30.0,70.0,30.0,40.0
Did not vote,26.0,2020,15.0,50.0,50.0,30.0
Democrat,33.0,2020,80.0,60.0,50.0,97.0
Did not vote,12.0,2020,50.0,50.0,50.0,40.0
Did not vote,21.0,2020,99.0,99.0,99.0,99.0
Democrat,18.0,2020,99.0,99.0,85.0,99.0
Republican,37.0,2020,30.0,85.0,50.0,50.0
Republican,13.0,2020,15.0,85.0,15.0,50.0
Did not vote,13.0,2020,40.0,50.0,50.0,15.0
Did not vote,48.0,2020,50.0,50.0,50.0,50.0
Did not vote,20.0,2020,50.0,50.0,50.0,50.0
Republican,12.0,2020,0.0,50.0,0.0,97.0
Republican,49.0,2020,99.0,99.0,99.0,99.0
Republican,47.0,2020,30.0,70.0,40.0,70.0
Democrat,45.0,2020,85.0,30.0,70.0,70.0
Democrat,25.0,2020,30.0,85.0,85.0,70.0
Democrat,36.0,2020,60.0,0.0,85.0,85.0
Democrat,12.0,2020,90.0,35.0,97.0,70.0
Democrat,26.0,2020,97.0,30.0,97.0,60.0
Democrat,25.0,2020,77.0,44.0,97.0,60.0
Democrat,53.0,2020,70.0,15.0,85.0,50.0
Democrat,48.0,2020,85.0,30.0,97.0,85.0
Did not vote,26.0,2020,99.0,99.0,99.0,99.0
Did not vote,48.0,2020,40.0,55.0,50.0,65.0
Republican,13.0,2020,15.0,50.0,40.0,50.0
Republican,13.0,2020,15.0,80.0,70.0,40.0
Democrat,53.0,2020,90.0,50.0,97.0,95.0
Democrat,48.0,2020,80.0,50.0,70.0,50.0
Democrat,17.0,2020,99.0,70.0,97.0,50.0
Did not vote,21.0,2020,99.0,99.0,99.0,99.0
Democrat,18.0,2020,50.0,25.0,97.0,90.0
Republican,48.0,2020,75.0,70.0,60.0,70.0
Democrat,6.0,2020,60.0,50.0,97.0,85.0
Democrat,17.0,2020,85.0,40.0,97.0,85.0
Republican,37.0,2020,99.0,99.0,97.0,99.0
Democrat,6.0,2020,97.0,60.0,97.0,97.0
Did not vote,9.0,2020,99.0,99.0,99.0,99.0
Democrat,17.0,2020,50.0,50.0,97.0,70.0
Democrat,26.0,2020,30.0,0.0,70.0,60.0
Republican,12.0,2020,40.0,60.0,50.0,50.0
Democrat,31.0,2020,85.0,90.0,97.0,85.0
Democrat,32.0,2020,60.0,60.0,60.0,70.0
Republican,18.0,2020,0.0,30.0,85.0,20.0
Democrat,37.0,2020,50.0,50.0,60.0,40.0
Republican,13.0,2020,70.0,80.0,90.0,75.0
Democrat,48.0,2020,70.0,60.0,85.0,97.0
Democrat,6.0,2020,50.0,50.0,50.0,60.0
Democrat,36.0,2020,85.0,0.0,97.0,85.0
Democrat,6.0,2020,60.0,60.0,50.0,50.0
Republican,8.0,2020,30.0,70.0,70.0,70.0
Democrat,6.0,2020,60.0,70.0,97.0,90.0
Democrat,53.0,2020,65.0,5.0,97.0,60.0
Did not vote,45.0,2020,60.0,60.0,60.0,60.0
Democrat,11.0,2020,70.0,40.0,85.0,97.0
Democrat,45.0,2020,70.0,70.0,85.0,85.0
Did not vote,4.0,2020,99.0,99.0,99.0,99.0
Democrat,8.0,2020,70.0,40.0,85.0,85.0
Did not vote,1.0,2020,99.0,99.0,99.0,99.0
Democrat,53.0,2020,70.0,40.0,85.0,70.0
Did not vote,39.0,2020,0.0,50.0,0.0,0.0
Did not vote,12.0,2020,50.0,50.0,50.0,70.0
Democrat,12.0,2020,50.0,50.0,50.0,50.0
Democrat,26.0,2020,70.0,0.0,97.0,97.0
